iter	MultiClass
0	0.6788511943
1	0.6653272869
2	0.6525833344
3	0.64050321
4	0.6291492615
5	0.6183359163
6	0.608147328
7	0.5984219039
8	0.5892159167
9	0.5804170127
10	0.5721150366
11	0.5641565808
12	0.556544459
13	0.5493014362
14	0.5424250183
15	0.535816664
16	0.5295301841
17	0.5234942465
18	0.5176625538
19	0.5121239917
20	0.5067847506
21	0.5016712086
22	0.4967686578
23	0.4920675704
24	0.4875701205
25	0.4832460933
26	0.4790591993
27	0.4750354327
28	0.4712597144
29	0.4675621067
30	0.4640499757
31	0.4605749976
32	0.4572718116
33	0.4540852639
34	0.4510290071
35	0.4480527474
36	0.4451348707
37	0.4424589355
38	0.4397696674
39	0.4371458166
40	0.4346895054
41	0.4322782765
42	0.4299243437
43	0.4277555997
44	0.4255565132
45	0.4234230037
46	0.4214311037
47	0.4195084257
48	0.4176517724
49	0.415869297
50	0.4141311046
51	0.4124244696
52	0.4107440208
53	0.4091035065
54	0.4075323422
55	0.4060463226
56	0.4046012286
57	0.4031477258
58	0.4018380704
59	0.40050824
60	0.399260293
61	0.3980232489
62	0.396782368
63	0.3956195017
64	0.3944502408
65	0.3933833902
66	0.3923436848
67	0.3912908704
68	0.3902760402
69	0.3893025834
70	0.3885473118
71	0.3876030785
72	0.3866642167
73	0.3858024743
74	0.3849725452
75	0.3841737261
76	0.383406049
77	0.3826395868
78	0.3818527896
79	0.380984141
80	0.3802901941
81	0.3795963112
82	0.3788836599
83	0.378211231
84	0.3775623344
85	0.3769232215
86	0.3762566757
87	0.3756351162
88	0.3750784623
89	0.374560528
90	0.3740788513
91	0.3735516768
92	0.372918447
93	0.3722988699
94	0.3719551257
95	0.3714046746
96	0.3708424255
97	0.3704187802
98	0.3700073807
99	0.369541307
100	0.3690839939
101	0.3686972138
102	0.3683104017
103	0.3678286611
104	0.3674646459
105	0.3670517757
106	0.3666894551
107	0.3662246603
108	0.3658613165
109	0.3655328236
110	0.3651687125
111	0.3648843426
112	0.3645437638
113	0.3642161661
114	0.3638803513
115	0.3635510271
116	0.3632985345
117	0.3629529999
118	0.3626962229
119	0.3624600367
120	0.3622437698
121	0.361967681
122	0.3617094971
123	0.3614573243
124	0.3612060148
125	0.3609073848
126	0.3605679251
127	0.3602991581
128	0.3600183053
129	0.3598269775
130	0.3596253224
131	0.3593931648
132	0.3590945668
133	0.3588655746
134	0.3586514179
135	0.3584240243
136	0.3582597779
137	0.3580349741
138	0.3578480586
139	0.3576404245
140	0.3573899462
141	0.3571674446
142	0.3569153357
143	0.3567272052
144	0.3565308576
145	0.3563450612
146	0.3561878169
147	0.3559730527
148	0.3557750745
149	0.3555431727
150	0.3553905964
