iter	Passed	Remaining
0	85	599377
1	163	570890
2	244	570856
3	330	578036
4	418	585430
5	499	582032
6	588	587546
7	679	593637
8	837	650455
9	1045	730525
10	1272	808463
11	1479	861544
12	1720	924458
13	1926	961298
14	2141	997347
15	2316	1011025
16	2532	1040103
17	2706	1049999
18	2900	1065590
19	3062	1068822
20	3231	1073852
21	3419	1084675
22	3604	1093515
23	3793	1102668
24	3975	1109269
25	4178	1120782
26	4369	1128426
27	4551	1133405
28	4748	1141397
29	4966	1153912
30	5165	1161163
31	5347	1164431
32	5547	1171120
33	5732	1174540
34	5933	1180747
35	6156	1190869
36	6352	1195392
37	6559	1201740
38	6806	1214944
39	7044	1225797
40	7271	1234197
41	7480	1239256
42	7723	1249601
43	7948	1256529
44	8153	1260222
45	8386	1267876
46	8575	1268624
47	8776	1271165
48	9008	1277916
49	9193	1277858
50	9417	1283121
51	9639	1287986
52	9822	1287518
53	10055	1293482
54	10262	1295843
55	10484	1300043
56	10700	1303374
57	10918	1306822
58	11135	1309985
59	11337	1311420
60	11549	1313803
61	11749	1314859
62	11992	1320526
63	12212	1323506
64	12420	1325195
65	12614	1325293
66	12846	1329313
67	13072	1332612
68	13278	1333783
69	13461	1332698
70	13676	1334716
71	13904	1337957
72	14086	1336715
73	14159	1325241
74	14225	1313521
75	14291	1302067
76	14354	1290638
77	14421	1279835
78	14491	1269533
79	14559	1259364
80	14623	1249170
81	14684	1238838
82	14747	1229031
83	14814	1219725
84	14877	1210353
85	14938	1200969
86	15015	1193098
87	15079	1184463
88	15148	1176274
89	15214	1168103
90	15274	1159708
91	15332	1151260
92	15406	1144215
93	15480	1137300
94	15544	1129869
95	15604	1122204
96	15685	1116286
97	15776	1111128
98	15848	1104772
99	15916	1098230
100	15994	1092557
101	16076	1087244
102	16153	1081673
103	16224	1075805
104	16287	1069546
105	16356	1063759
106	16425	1058146
107	16495	1052655
108	16560	1046942
109	16642	1042415
110	16711	1037176
111	16793	1032792
112	16852	1027097
113	16921	1022098
114	16998	1017669
115	17078	1013501
116	17147	1008792
117	17210	1003770
118	17277	999027
119	17354	994981
120	17421	990417
121	17497	986433
122	17577	982781
123	17646	978530
124	17714	974279
125	17791	970617
126	17863	966716
127	17936	962956
128	18014	959514
129	18095	956265
130	18174	952986
131	18234	948760
132	18307	945249
133	18372	941366
134	18433	937384
135	18507	934063
136	18574	930482
137	18645	927139
138	18716	923840
139	18793	920857
140	18862	917569
141	18924	913960
142	18988	910517
143	19052	907092
144	19140	904899
145	19210	901854
146	19282	898918
147	19343	895572
148	19404	892211
149	19473	889285
150	19544	886483
151	19618	883859
152	19685	880938
153	19767	878744
154	19840	876189
155	19909	873475
156	19973	870547
157	20042	867935
158	20108	865157
159	20174	862447
160	20235	859589
161	20311	857357
162	20390	855257
163	20462	852951
164	20550	851278
165	20620	848921
166	20684	846315
167	20766	844485
168	20840	842361
169	20912	840180
170	20989	838212
171	21061	836076
172	21129	833809
173	21285	835014
174	21497	838415
175	21708	841712
176	21914	844743
177	22135	848364
178	22312	850250
179	22541	854080
180	22759	857423
181	22973	860624
182	23194	864027
183	23394	866613
184	23599	869371
185	23804	872074
186	24004	874577
187	24231	878019
188	24444	880897
189	24674	884373
190	24912	888110
191	25117	890639
192	25324	893174
193	25535	895831
194	25732	898007
195	25925	899971
196	26151	903093
197	26368	905864
198	26574	908202
199	26774	910346
200	26973	912387
201	27192	915136
202	27421	918160
203	27619	920124
204	27829	922438
205	28023	924243
206	28249	927043
207	28449	928978
208	28640	930609
209	28869	933450
210	29079	935652
211	29287	937737
212	29501	940018
213	29713	942230
214	29909	943888
215	30125	946154
216	30334	948195
217	30530	949793
218	30747	952055
219	30944	953655
220	31167	956046
221	31341	956901
222	31537	958436
223	31750	960464
224	31959	962350
225	32184	964691
226	32392	966502
227	32601	968329
228	32823	970509
229	33029	972207
230	33235	973911
231	33440	975528
232	33654	977437
233	33847	978670
234	34056	980401
235	34281	982544
236	34498	984444
237	34706	986064
238	34914	987685
239	35118	989178
240	35318	990525
241	35508	991601
242	35719	993226
243	35924	994689
244	36120	995886
245	36317	997103
246	36543	999096
247	36758	1000790
248	36967	1002290
249	37171	1003631
250	37361	1004603
251	37545	1005380
252	37746	1006626
253	37946	1007828
254	38143	1008921
255	38370	1010823
256	38568	1011931
257	38765	1013021
258	38962	1014074
259	39184	1015785
260	39382	1016842
261	39571	1017693
262	39773	1018835
263	39978	1020066
264	40179	1021172
265	40406	1022929
266	40636	1024727
267	40828	1025584
268	41032	1026715
269	41237	1027889
270	41448	1029186
271	41677	1030893
272	41858	1031433
273	42060	1032472
274	42282	1033993
275	42489	1035134
276	42695	1036254
277	42909	1037545
278	43113	1038592
279	43346	1040317
280	43547	1041271
281	43746	1042162
282	43974	1043730
283	44120	1043348
284	44181	1040983
285	44238	1038531
286	44301	1036232
287	44359	1033830
288	44419	1031492
289	44479	1029166
290	44541	1026899
291	44604	1024679
292	44666	1022459
293	44731	1020296
294	44810	1018499
295	44875	1016373
296	44948	1014449
297	45013	1012355
298	45084	1010397
299	45151	1008378
300	45212	1006243
301	45283	1004325
302	45359	1002547
303	45435	1000781
304	45515	999101
305	45579	997079
306	45649	995212
307	45714	993245
308	45783	991387
309	45850	989484
310	45920	987666
311	45986	985751
312	46054	983924
313	46130	982250
314	46190	980265
315	46251	978296
316	46319	976509
317	46396	974908
318	46486	973596
319	46562	971997
320	46649	970623
321	46730	969146
